Unnamed: 0,character,emphasis,volume,part,chapter,value,paragraph,token,lemma,concept,totalpart
81,Pierre,"— Да, да, это так! — РАДОСТНО сказал Пьер.",Том второй,Часть вторая,II,83,"— Да, да, это так! — радостно сказал Пьер.",радостно,радостно,радость,5
82,Pierre,"Оставшись один, Пьер продолжал все так же улыбаться. Раза два он пожимал плечами, подносил руку к платку, как бы желая снять его, и опять опускал ее. Пять минут, которые он пробыл с завязанными глазами, показались ему часом. Руки его отекли, ноги подкашивались; ему казалось, что он устал. Он испытывал самые сложные и разнообразные чувства. Ему было и страшно того, что с ним случится, и еще более страшно того, как бы ему не выказать страха. Ему было любопытно узнать, что будет с ним, что откроется ему; но более всего ему было РАДОСТНО, что наступила минута, когда он, наконец, вступит на тот путь обновления и деятельно-добродетельной жизни, о котором он мечтал со времени своей встречи с Осипом Алексеевичем. В дверь послышались сильные удары, Пьер снял повязку и оглянулся вокруг себя. В комнате было черно-темно: только в одном месте горела лампада в чем-то белом. Пьер подошел ближе и увидал, что лампада стояла на черном столе, на котором лежала одна раскрытая книга. Книга была Евангелие; то белое, в чем горела лампада, был человеческий череп с своими дырами и зубами. Прочтя первые слова Евангелия: «В начале бе слово и слово бе к Богу», Пьер обошел стол и увидал большой, наполненный чем-то и открытый ящик. Это был гроб с костями. Его нисколько не удивило то, что он увидал. Надеясь вступить в совершенно новую жизнь, совершенно отличную от прежней, он ожидал всего необыкновенного, еще более необыкновенного, чем то, что он видел. Череп, гроб, Евангелие — ему казалось, что он ожидал всего этого, ожидал еще бо́льшего. Стараясь вызвать в себе чувство умиленья, он смотрел вокруг себя. «Бог, смерть, любовь, братство людей», — говорил он себе, связывая с этими словами смутные, но радостные представления чего-то. Дверь отворилась, и кто-то вошел.",Том второй,Часть вторая,III,84,"Оставшись один, Пьер продолжал все так же улыбаться. Раза два он пожимал плечами, подносил руку к платку, как бы желая снять его, и опять опускал ее. Пять минут, которые он пробыл с завязанными глазами, показались ему часом. Руки его отекли, ноги подкашивались; ему казалось, что он устал. Он испытывал самые сложные и разнообразные чувства. Ему было и страшно того, что с ним случится, и еще более страшно того, как бы ему не выказать страха. Ему было любопытно узнать, что будет с ним, что откроется ему; но более всего ему было радостно, что наступила минута, когда он, наконец, вступит на тот путь обновления и деятельно-добродетельной жизни, о котором он мечтал со времени своей встречи с Осипом Алексеевичем. В дверь послышались сильные удары, Пьер снял повязку и оглянулся вокруг себя. В комнате было черно-темно: только в одном месте горела лампада в чем-то белом. Пьер подошел ближе и увидал, что лампада стояла на черном столе, на котором лежала одна раскрытая книга. Книга была Евангелие; то белое, в чем горела лампада, был человеческий череп с своими дырами и зубами. Прочтя первые слова Евангелия: «В начале бе слово и слово бе к Богу», Пьер обошел стол и увидал большой, наполненный чем-то и открытый ящик. Это был гроб с костями. Его нисколько не удивило то, что он увидал. Надеясь вступить в совершенно новую жизнь, совершенно отличную от прежней, он ожидал всего необыкновенного, еще более необыкновенного, чем то, что он видел. Череп, гроб, Евангелие — ему казалось, что он ожидал всего этого, ожидал еще бо́льшего. Стараясь вызвать в себе чувство умиленья, он смотрел вокруг себя. «Бог, смерть, любовь, братство людей», — говорил он себе, связывая с этими словами смутные, но радостные представления чего-то. Дверь отворилась, и кто-то вошел.",радостно,радостный,радость,5
83,Pierre,"«Да, это должно быть так, — думал Пьер, когда после этих слов ритор снова ушел от него, оставляя его уединенному размышлению. — Это должно быть так, но я еще так слаб, что люблю свою жизнь, которой смысл только теперь понемногу открывается мне». Но остальные пять добродетелей, которые, перебирая по пальцам, вспомнил Пьер, он чувствовал в душе своей: и мужество, и щедрость, и добронравие, и любовь к человечеству, и в особенности повиновение, которое даже не представлялось ему добродетелью, а счастьем. (Ему так РАДОСТНО было теперь избавиться от своего произвола и подчинить свою волю тому и тем, которые знали несомненную истину.) Седьмую добродетель Пьер забыл и никак не мог вспомнить ее.",Том второй,Часть вторая,III,84,"«Да, это должно быть так, — думал Пьер, когда после этих слов ритор снова ушел от него, оставляя его уединенному размышлению. — Это должно быть так, но я еще так слаб, что люблю свою жизнь, которой смысл только теперь понемногу открывается мне». Но остальные пять добродетелей, которые, перебирая по пальцам, вспомнил Пьер, он чувствовал в душе своей: и мужество, и щедрость, и добронравие, и любовь к человечеству, и в особенности повиновение, которое даже не представлялось ему добродетелью, а счастьем. (Ему так радостно было теперь избавиться от своего произвола и подчинить свою волю тому и тем, которые знали несомненную истину.) Седьмую добродетель Пьер забыл и никак не мог вспомнить ее.",радостно,радостный,радость,5
84,Pierre,"Пьер уже чувствовал в себе этот освежающий источник блаженства, теперь РАДОСТИЮ и умилением переполнявший его душу.",Том второй,Часть вторая,III,84,"Пьер уже чувствовал в себе этот освежающий источник блаженства, теперь радостию и умилением переполнявший его душу.",радостию,радостию,радость,5
85,Pierre,"Пьер со слезами РАДОСТИ на глазах смотрел вокруг себя, не зная, что отвечать на поздравления и возобновления знакомств, с которыми окружили его. Он не признавал никаких знакомств; во всех людях этих он видел только братьев, с которыми сгорал нетерпением приняться за дело.",Том второй,Часть вторая,IV,85,"Пьер со слезами радости на глазах смотрел вокруг себя, не зная, что отвечать на поздравления и возобновления знакомств, с которыми окружили его. Он не признавал никаких знакомств; во всех людях этих он видел только братьев, с которыми сгорал нетерпением приняться за дело.",радости,радость,радость,5
86,Pierre,"На другой день после приема в ложу Пьер сидел дома, читая книгу и стараясь вникнуть в значение квадрата, изображавшего одной своей стороною Бога, другою нравственное, третьею физическое и четвертою смешанное. Изредка он отрывался от книги и квадрата и в воображении своем составлял себе новый план жизни. Вчера в ложе ему сказали, что до сведения государя дошел слух о дуэли и что Пьеру благоразумнее было бы удалиться из Петербурга. Пьер предполагал ехать в свои южные имения и заняться там своими крестьянами. Он РАДОСТНО обдумывал эту новую жизнь, когда неожиданно в комнату вошел князь Василий.",Том второй,Часть вторая,V,86,"На другой день после приема в ложу Пьер сидел дома, читая книгу и стараясь вникнуть в значение квадрата, изображавшего одной своей стороною Бога, другою нравственное, третьею физическое и четвертою смешанное. Изредка он отрывался от книги и квадрата и в воображении своем составлял себе новый план жизни. Вчера в ложе ему сказали, что до сведения государя дошел слух о дуэли и что Пьеру благоразумнее было бы удалиться из Петербурга. Пьер предполагал ехать в свои южные имения и заняться там своими крестьянами. Он радостно обдумывал эту новую жизнь, когда неожиданно в комнату вошел князь Василий.",радостно,радостно,радость,5
87,Pierre,"Южная весна, покойное, быстрое путешествие в венской коляске и уединение дороги радостно действовали на Пьера. Имения, в которых он не бывал еще, были одно живописнее другого; народ везде представлялся благоденствующим и трогательно-благодарным за сделанные ему благодеяния. Везде были встречи, которые хотя и приводили в смущение Пьера, но в глубине души его вызывали РАДОСТНОЕ чувство. В одном месте мужики подносили ему хлеб-соль и образ Петра и Павла и просили позволения в честь его ангела Петра и Павла, в знак любви и благодарности за сделанные им благодеяния воздвигнуть на свой свет новый придел в церкви. В другом месте его встретили женщины с грудными детьми, благодаря его за избавление от тяжелых работ. В третьем имении его встречал священник с крестом, окруженный детьми, которых он, по милостям графа, обучал грамоте и религии. Во всех именьях Пьер видел своими глазами по одному плану воздвигавшиеся и воздвигнутые уже каменные здания больниц, школ, богаделен, которые должны были быть в скором времени открыты. Везде Пьер видел отчеты управляющих о барщинских работах, уменьшенных против прежнего, и слышал за то трогательные благодарения депутаций крестьян в синих кафтанах.",Том второй,Часть вторая,X,91,"Южная весна, покойное, быстрое путешествие в венской коляске и уединение дороги радостно действовали на Пьера. Имения, в которых он не бывал еще, были одно живописнее другого; народ везде представлялся благоденствующим и трогательно-благодарным за сделанные ему благодеяния. Везде были встречи, которые хотя и приводили в смущение Пьера, но в глубине души его вызывали радостное чувство. В одном месте мужики подносили ему хлеб-соль и образ Петра и Павла и просили позволения в честь его ангела Петра и Павла, в знак любви и благодарности за сделанные им благодеяния воздвигнуть на свой свет новый придел в церкви. В другом месте его встретили женщины с грудными детьми, благодаря его за избавление от тяжелых работ. В третьем имении его встречал священник с крестом, окруженный детьми, которых он, по милостям графа, обучал грамоте и религии. Во всех именьях Пьер видел своими глазами по одному плану воздвигавшиеся и воздвигнутые уже каменные здания больниц, школ, богаделен, которые должны были быть в скором времени открыты. Везде Пьер видел отчеты управляющих о барщинских работах, уменьшенных против прежнего, и слышал за то трогательные благодарения депутаций крестьян в синих кафтанах.",радостное,радостный,радость,5
88,Pierre,"При свидании после долгой разлуки, как это всегда бывает, разговор долго не мог установиться; они спрашивали и отвечали коротко о таких вещах, о которых они сами знали, что надо было говорить долго. Наконец разговор стал понемногу останавливаться на прежде отрывочно сказанном, на вопросах о прошедшей жизни, о планах на будущее, о путешествии Пьера, о его занятиях, о войне и т. д. Та сосредоточенность и убитость, которую заметил Пьер во взгляде князя Андрея, теперь выражалась еще сильнее в улыбке, с которою он слушал Пьера, в особенности тогда, когда Пьер говорил с одушевлением РАДОСТИ о прошедшем или будущем. Как будто князь Андрей и желал бы, но не мог принимать участия в том, что он говорил. Пьер начинал чувствовать, что перед князем Андреем восторженность, мечты, надежны на счастие и на добро неприличны. Ему совестно было высказывать все свои новые, масонские мысли, в особенности подновленные и возбужденные в нем его последним путешествием. Он сдерживал себя, боялся быть наивным; вместе с тем ему неудержимо хотелось поскорее показать своему другу, что он был теперь совсем другой, лучший Пьер, чем тот, который был в Петербурге.",Том второй,Часть вторая,XI,92,"При свидании после долгой разлуки, как это всегда бывает, разговор долго не мог установиться; они спрашивали и отвечали коротко о таких вещах, о которых они сами знали, что надо было говорить долго. Наконец разговор стал понемногу останавливаться на прежде отрывочно сказанном, на вопросах о прошедшей жизни, о планах на будущее, о путешествии Пьера, о его занятиях, о войне и т. д. Та сосредоточенность и убитость, которую заметил Пьер во взгляде князя Андрея, теперь выражалась еще сильнее в улыбке, с которою он слушал Пьера, в особенности тогда, когда Пьер говорил с одушевлением радости о прошедшем или будущем. Как будто князь Андрей и желал бы, но не мог принимать участия в том, что он говорил. Пьер начинал чувствовать, что перед князем Андреем восторженность, мечты, надежны на счастие и на добро неприличны. Ему совестно было высказывать все свои новые, масонские мысли, в особенности подновленные и возбужденные в нем его последним путешествием. Он сдерживал себя, боялся быть наивным; вместе с тем ему неудержимо хотелось поскорее показать своему другу, что он был теперь совсем другой, лучший Пьер, чем тот, который был в Петербурге.",радости,радость,радость,5
89,Pierre,"Пьер был именно тем самым мужем, который нужен был для этой блестящей светской женщины. Он был тот рассеянный чудак, муж grand seigneur, никому не мешающий и не только не портящий общего впечатления высокого тона гостиной, но своей противоположностью изяществу и такту жены служащий выгодным для нее фоном. Пьер за эти два года, вследствие своего постоянного сосредоточенного занятия невещественными интересами и искреннего презрения ко всему остальному, усвоил себе в не интересовавшем его обществе жены тот тон равнодушия, небрежности и благосклонности ко всем, который не приобретается искусственно и который потому-то и внушает невольное уважение. Он входил в гостиную своей жены, как в театр, со всеми был знаком, всем был одинаково РАД и ко всем был одинаково равнодушен. Иногда он вступал в разговор, интересовавший его, и тогда, без соображений о том, были ли тут или нет les messieurs de l'ambassade 4, шамкая говорил свои мнения, которые иногда были совершенно не в тоне настоящей минуты. Но мнение о чудаке муже de la femme la plus distinguée de Pétersbourg 5 уже так установилось, что никто не принимал au sérieux 6 его выходок.",Том второй,Часть третья,IX,111,"Пьер был именно тем самым мужем, который нужен был для этой блестящей светской женщины. Он был тот рассеянный чудак, муж grand seigneur, никому не мешающий и не только не портящий общего впечатления высокого тона гостиной, но своей противоположностью изяществу и такту жены служащий выгодным для нее фоном. Пьер за эти два года, вследствие своего постоянного сосредоточенного занятия невещественными интересами и искреннего презрения ко всему остальному, усвоил себе в не интересовавшем его обществе жены тот тон равнодушия, небрежности и благосклонности ко всем, который не приобретается искусственно и который потому-то и внушает невольное уважение. Он входил в гостиную своей жены, как в театр, со всеми был знаком, всем был одинаково рад и ко всем был одинаково равнодушен. Иногда он вступал в разговор, интересовавший его, и тогда, без соображений о том, были ли тут или нет les messieurs de l'ambassade 4, шамкая говорил свои мнения, которые иногда были совершенно не в тоне настоящей минуты. Но мнение о чудаке муже de la femme la plus distinguée de Pétersbourg 5 уже так установилось, что никто не принимал au sérieux 6 его выходок.",рад,рад,радость,6
90,Pierre,"В глазах света Пьер был большой барин, несколько слепой и смешной муж знаменитой жены, умный чудак, ничего не делающий, но и никому не вредящий, славный и добрый малый. В душе же Пьера происходила за все это время сложная и трудная работа внутреннего развития, открывшая ему многое и приведшая его ко многим духовным сомнениям и РАДОСТЯМ.",Том второй,Часть третья,IX,111,"В глазах света Пьер был большой барин, несколько слепой и смешной муж знаменитой жены, умный чудак, ничего не делающий, но и никому не вредящий, славный и добрый малый. В душе же Пьера происходила за все это время сложная и трудная работа внутреннего развития, открывшая ему многое и приведшая его ко многим духовным сомнениям и радостям.",радостям,радость,радость,6
91,Pierre,"«Что-то очень важное происходит между ними», — думал Пьер, и РАДОСТНОЕ и вместе горькое чувство заставляло его волноваться и забывать об игре.",Том второй,Часть третья,XXI,123,"«Что-то очень важное происходит между ними», — думал Пьер, и радостное и вместе горькое чувство заставляло его волноваться и забывать об игре.",радостное,радостный,радость,6
